iter,TrainError,ValidationError
1,0.27544408431785,0.204757243397711
2,0.210240101604105,0.195337042285087
3,0.189294484019185,0.125943630541501
4,0.126389252105258,0.114764266190175
5,0.115468196351173,0.0950417696999615
6,0.0929072909398508,0.123097242533924
7,0.121476832930994,0.101040135523304
8,0.0991350590112456,0.164173074167589
9,0.166949579092369,0.178436333660365
10,0.166151977397374,0.172401414475444
11,0.170778869060991,0.140720652495433
12,0.136033811078767,0.105369824962404
13,0.107307097934311,0.0942205970346013
14,0.0895301569141734,0.0923676282157133
15,0.0925773834217822,0.0777106907445449
16,0.0770648605449203,0.0746838662445463
17,0.0774469812880312,0.0623141026279466
18,0.0629355676853802,0.0752498193233074
19,0.0752120611164983,0.0593740949609389
20,0.0588583485351396,0.0698804067016859
21,0.0710231481176183,0.0573576576216702
22,0.0572579352886005,0.0591277932475582
23,0.0623669332208464,0.0561695152439019
24,0.0589121504370074,0.0557729335954422
25,0.0586837254987479,0.0555171525579647
26,0.0573266286586459,0.0553292864454046
27,0.0569766428666161,0.055181038453893
28,0.0561334035746741,0.0552343946865771
29,0.0558446392405649,0.0551423024958233
30,0.0557749010779308,0.0541706253118241
31,0.0555303709057505,0.0539775727242547
32,0.0561169076808479,0.054954375830285
33,0.0554637919428418,0.0549829796527495
34,0.0552661910698331,0.0549136590076117
35,0.0552571217904557,0.0548641803352735
36,0.0549208741207343,0.0548571301556464
37,0.0545149786963259,0.055643774390918
38,0.054192737497046,0.0623330894100351
39,0.0595269186028526,0.0512542313533818
40,0.0530113377362126,0.0572720179946201
41,0.0575678080791594,0.0504037948063547
42,0.0529654756677044,0.0561253139089509
43,0.0569432533152233,0.0505396650268518
44,0.0532345641470534,0.0557681507194454
45,0.0551372062127115,0.0505707770663351
46,0.0536066083962825,0.0507393811495544
47,0.0526247225109659,0.05314733033966
48,0.0559625673815438,0.0517635806965148
49,0.0511250175218144,0.0495066271314316
50,0.0510036301744843,0.0520729274706716
51,0.0512243251509365,0.0496222727058094
52,0.0501973455340267,0.0505901201973992
53,0.0503088003843027,0.0505712591903713
54,0.0507746772976347,0.0488938910899367
55,0.0507864682236375,0.0561326762385033
56,0.0551908065547682,0.0475147202330472
57,0.0508813466680659,0.0487387814715858
58,0.051212615938546,0.0508365581643764
59,0.0514794373787866,0.0562083356823259
60,0.0560658415577931,0.0479010610573421
61,0.0513058885496751,0.0487335982782803
62,0.0515365977490133,0.0499168515364515
63,0.0514302098203762,0.0548706184623991
64,0.0551347244566184,0.0479431347021019
65,0.0515459885855002,0.0500693016323833
66,0.0523113120667576,0.0500223145508122
67,0.0520726375764024,0.0534972316916488
68,0.0555679837803409,0.048180914290953
69,0.0525534960367972,0.0486108553480828
70,0.0521320568641278,0.0502064050283291
71,0.0521448311840646,0.0517871334923443
72,0.0523574042742667,0.0502651652966695
73,0.0525564370586116,0.0497731008410411
74,0.0521238092851729,0.0513671810914552
75,0.0525420517377657,0.0519327885765132
76,0.0529194528476361,0.0515549819183367
77,0.0528917028037263,0.0507277157512651
78,0.0522545888639611,0.0519389172242832
79,0.0525821726264916,0.051928663767249
80,0.0530516050515359,0.0515940257035841
81,0.053321350318574,0.0514963509908457
